id,ignore,catalog,title,description,Theme,keywords_list,version,doi,layer_unit,contact_name,contact_email,providers_list,license,constellation_list,platform,instruments_list,gsd,start_date,end_date,date_step,date_offset,date_unit,date_style,ignore_29feb,depth_list,sld_url,qml_url,main_url,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10,url_11,url_12,url_13,url_14,url_15,url_16,url_17,url_18,url_19,url_20,url_21,url_22,url_23,url_24
pot.fapar_fapar.p95.eml,0,openlandmap,Monthly potential fraction of absorbed photosynthetically active radiation (FAPAR - 2021),"Potential FAPAR predicted every month, in 2021, by fitting an ensemble ML model using globally distributed training points (cca 3 Mio) and a set of 52 biophysical covariates including several layers related to human pressure. ",Biodiversity and Nature Conservation,"fapar,eml,potential",v20230924,https://doi.org/10.5281/zenodo.8404153,index,Julia Hackländer,julia.hacklaender@opengeohub.org,opengeohub,CC-BY-SA-4.0,,,,250,2021-01-01,2021-12-31,1,,months,interval,0,,https://s3.openlandmap.org/arco/fapar_essd.lstm.sld,https://s3.openlandmap.org/arco/fapar_essd.lstm.qml,https://s3.openlandmap.org/arco/pot.fapar_fapar.p95.eml_m_250m_s_{dt}_go_epsg.4326_v20230924.tif,,,,,,,,,,,,,,,,,,,,,,,,
snow.cover_esa.modis,0,openlandmap,ESA monthly snow cover fraction,Global MODIS-based snow cover monthly long-term (2000-2012) at 500 m. Global snow cover monthly long-term (2000–2012) P90 and standard deviation derived from the ESA CCI snow cover weekly product.,Land Cover and Land Use,"snow,modis",v1,https://doi.org/10.5281/zenodo.5774953,index,Tom Hengl,tom.hengl@opengeohub.org,"esa_cci,opengeohub",CC-BY-4.0,,,modis,1000,2000-03-01,2019-12-31,1,,months,interval,0,,https://s3.openlandmap.org/arco/snow_esa.modis.sld,https://s3.openlandmap.org/arco/snow_esa.modis.qml,https://s3.openlandmap.org/arco/snow.cover_esa.modis_p50_1km_s_{dt}_go_epsg.4326_v1.tif,https://s3.openlandmap.org/arco/snow.cover_esa.modis_p05_1km_s_{dt}_go_epsg.4326_v1.tif,https://s3.openlandmap.org/arco/snow.cover_esa.modis_p95_1km_s_{dt}_go_epsg.4326_v1.tif,,,,,,,,,,,,,,,,,,,,,,
snow.cover_esa.modis.ltm,0,openlandmap,ESA long-term snow cover fraction,Global MODIS-based snow cover monthly long-term (2000-2012) at 500 m. Global snow cover monthly long-term (2000–2012) P90 and standard deviation derived from the ESA CCI snow cover weekly product.,Land Cover and Land Use,"snow,modis",v2,https://doi.org/10.5281/zenodo.5774953,index,Tom Hengl,tom.hengl@opengeohub.org,"esa_cci,opengeohub",CC-BY-4.0,,,modis,500,2000-01-01,2012-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/snow_esa.modis.sld,https://s3.openlandmap.org/arco/snow_esa.modis.qml,https://s3.openlandmap.org/arco/snow.prob_esacci.jan_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.jan_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.feb_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.feb_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.mar_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.mar_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.apr_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.apr_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.may_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.may_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.jun_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.jun_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.jul_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.jul_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.aug_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.aug_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.sep_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.sep_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.oct_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.oct_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.nov_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.nov_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.dec_p90_500m_s_{dt}_go_epsg.4326_v2.0.tif,https://s3.openlandmap.org/arco/snow.prob_esacci.dec_sd_500m_s_{dt}_go_epsg.4326_v2.0.tif,
wilderness_li2022.human.footprint,0,openlandmap,Annual terrestrial human footprint,Dataset of annual dynamics of the global Human Footprint from 2000 to 2018 using eight variables that reflect different aspects of human pressures.,Population Distribution,"human,land,footprint",v16022022,https://doi.org/10.1038/s41597-022-01284-8,index,Haowei Mu,blackmhw@gmail.com,"china_agri,opengeohub",CC-BY-SA-4.0,,,,250,2000-01-01,2018-12-31,1,,years,interval,0,,https://s3.openlandmap.org/arco/wilderness_li2022.human.footprint.sld,https://s3.openlandmap.org/arco/wilderness_li2022.human.footprint.qml,https://s3.openlandmap.org/arco/wilderness_li2022.human.footprint_p_1km_s_{dt}_go_epsg.4326_v16022022.tif,https://s3.openlandmap.org/arco/wilderness_li2022.human.footprint_p_1km_s_{dt}_go_epsg.4326_v16022022.tif,,,,,,,,,,,,,,,,,,,,,,,
wv_mcd19a2v061.seasconv,0,openlandmap,MCD19A2 monthly water vapor,"The monthly aggregated water vapor dataset is derived from MCD19A2 v061, measuring the column above ground retrieved from MODIS near-IR bands at 0.94μm. The dataset time spans from 2000 to 2022 and provides data that covers the entire globe. The monthly aggregation considered the mean and standard deviation of daily water vapor time-series data. Only positive non-cloudy pixels were considered valid observations to derive the mean and the standard deviation. The remaining no-data values were filled using the TMWM algorithm. This dataset also includes smoothed mean and standard deviation values using the Whittaker method. The quality assessment layers and the number of valid observations for each month can provide an indication of the reliability of the monthly mean and standard deviation values.",Climate,"water,modis,mcd19a2",v20230619,https://doi.org/10.5281/zenodo.8226283,10^-3cm,Rolf Simões,rolf.simoes@opengeohub.org ,"lp_daac,opengeohub",CC-BY-SA-4.0,,,modis,1000,2000-01-01,2022-12-31,1,,months,interval,0,,https://s3.openlandmap.org/arco/wv_mcd19a2v061.sld,https://s3.openlandmap.org/arco/wv_mcd19a2v061.qml,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv_m_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.qa_m_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.whittaker_m_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.whittaker_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061_n_1km_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,,,,,,,
wv_mcd19a2v061.seasconv.m_p50,0,openlandmap,MCD19A2 long-term water vapor (perc. 50th),"The monthly aggregated water vapor dataset is derived from MCD19A2 v061, measuring the column above ground retrieved from MODIS near-IR bands at 0.94μm. The dataset time spans from 2000 to 2022 and provides data that covers the entire globe. The monthly aggregation considered the mean and standard deviation of daily water vapor time-series data. Only positive non-cloudy pixels were considered valid observations to derive the mean and the standard deviation. The remaining no-data values were filled using the TMWM algorithm. This dataset also includes smoothed mean and standard deviation values using the Whittaker method. The quality assessment layers and the number of valid observations for each month can provide an indication of the reliability of the monthly mean and standard deviation values.",Climate,"water,modis,mcd19a2",v20230619,https://doi.org/10.5281/zenodo.8226283,10^-3cm,Rolf Simões,rolf.simoes@opengeohub.org ,"lp_daac,opengeohub",CC-BY-SA-4.0,,,modis,1000,2000-01-01,2022-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/wv_mcd19a2v061.sld,https://s3.openlandmap.org/arco/wv_mcd19a2v061.qml,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m01_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m02_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m03_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m04_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m05_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m06_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m07_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m08_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m09_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m10_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m11_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m12_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,
wv_mcd19a2v061.seasconv.m_p25,0,openlandmap,MCD19A2 long-term water vapor (perc. 25th),"The monthly aggregated water vapor dataset is derived from MCD19A2 v061, measuring the column above ground retrieved from MODIS near-IR bands at 0.94μm. The dataset time spans from 2000 to 2022 and provides data that covers the entire globe. The monthly aggregation considered the mean and standard deviation of daily water vapor time-series data. Only positive non-cloudy pixels were considered valid observations to derive the mean and the standard deviation. The remaining no-data values were filled using the TMWM algorithm. This dataset also includes smoothed mean and standard deviation values using the Whittaker method. The quality assessment layers and the number of valid observations for each month can provide an indication of the reliability of the monthly mean and standard deviation values.",Climate,"water,modis,mcd19a2",v20230619,https://doi.org/10.5281/zenodo.8226283,10^-3cm,Rolf Simões,rolf.simoes@opengeohub.org ,"lp_daac,opengeohub",CC-BY-SA-4.0,,,modis,1000,2000-01-01,2022-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/wv_mcd19a2v061.sld,https://s3.openlandmap.org/arco/wv_mcd19a2v061.qml,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m01_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m02_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m03_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m04_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m05_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m06_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m07_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m08_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m09_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m10_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m11_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m12_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,
wv_mcd19a2v061.seasconv.m_p75,0,openlandmap,MCD19A2 long-term water vapor (perc. 75th),"The monthly aggregated water vapor dataset is derived from MCD19A2 v061, measuring the column above ground retrieved from MODIS near-IR bands at 0.94μm. The dataset time spans from 2000 to 2022 and provides data that covers the entire globe. The monthly aggregation considered the mean and standard deviation of daily water vapor time-series data. Only positive non-cloudy pixels were considered valid observations to derive the mean and the standard deviation. The remaining no-data values were filled using the TMWM algorithm. This dataset also includes smoothed mean and standard deviation values using the Whittaker method. The quality assessment layers and the number of valid observations for each month can provide an indication of the reliability of the monthly mean and standard deviation values.",Climate,"water,modis,mcd19a2",v20230619,https://doi.org/10.5281/zenodo.8226283,10^-3cm,Rolf Simões,rolf.simoes@opengeohub.org ,"lp_daac,opengeohub",CC-BY-SA-4.0,,,modis,1000,2000-01-01,2022-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/wv_mcd19a2v061.sld,https://s3.openlandmap.org/arco/wv_mcd19a2v061.qml,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m01_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m02_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m03_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m04_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m05_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m06_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m07_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m08_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m09_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m10_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m11_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m12_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,
wv_mcd19a2v061.seasconv.m_std,0,openlandmap,MCD19A2 long-term water vapor (std. dev.),"The monthly aggregated water vapor dataset is derived from MCD19A2 v061, measuring the column above ground retrieved from MODIS near-IR bands at 0.94μm. The dataset time spans from 2000 to 2022 and provides data that covers the entire globe. The monthly aggregation considered the mean and standard deviation of daily water vapor time-series data. Only positive non-cloudy pixels were considered valid observations to derive the mean and the standard deviation. The remaining no-data values were filled using the TMWM algorithm. This dataset also includes smoothed mean and standard deviation values using the Whittaker method. The quality assessment layers and the number of valid observations for each month can provide an indication of the reliability of the monthly mean and standard deviation values.",Climate,"water,modis,mcd19a2",v20230619,https://doi.org/10.5281/zenodo.8226283,10^-3cm,Rolf Simões,rolf.simoes@opengeohub.org ,"lp_daac,opengeohub",CC-BY-SA-4.0,,,modis,1000,2000-01-01,2022-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/wv_mcd19a2v061_std.sld,https://s3.openlandmap.org/arco/wv_mcd19a2v061_std.qml,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m01_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m02_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m03_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m04_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m05_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m06_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m07_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m08_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m09_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m10_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m11_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.m12_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,
wv_mcd19a2v061.seasconv.m.yearly,0,openlandmap,MCD19A2 annual water vapor,"The monthly aggregated water vapor dataset is derived from MCD19A2 v061, measuring the column above ground retrieved from MODIS near-IR bands at 0.94μm. The dataset time spans from 2000 to 2022 and provides data that covers the entire globe. The monthly aggregation considered the mean and standard deviation of daily water vapor time-series data. Only positive non-cloudy pixels were considered valid observations to derive the mean and the standard deviation. The remaining no-data values were filled using the TMWM algorithm. This dataset is specifically derived from monthly time-series, providing a yearly time-series aggregated statistics of the monthly time-series data.",Climate,"water,modis,mcd19a2",v20230619,https://doi.org/10.5281/zenodo.8226282,10^-3cm,Rolf Simões,rolf.simoes@opengeohub.org ,"lp_daac,opengeohub",CC-BY-SA-4.0,,,modis,1000,2000-01-01,2022-12-31,1,,years,interval,0,,https://s3.openlandmap.org/arco/wv_mcd19a2v061.sld,https://s3.openlandmap.org/arco/wv_mcd19a2v061.qml,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.yearly_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.yearly_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.yearly_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.m.yearly_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.sd.yearly_p50_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.sd.yearly_p25_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.sd.yearly_p75_1km_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/wv_mcd19a2v061.seasconv.sd.yearly_sd_1km_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,,,,,
bulkdens.fineearth_usda.4a1h,0,openlandmap,Long-term soil bulk density for fine earth,"Soil bulk density (fine earth) 10 x kg / m-cubic at 6 standard depths (0, 10, 30, 60, 100 and 200 cm) at 250 m resolution",Geology and Soils,"soil carbon,bulk density",v0,https://doi.org/10.5281/zenodo.2525665,10 x kg / m-cubic,Tom Hengl,tom.hengl@opengeohub.org,opengeohub,CC-BY-SA-4.0,,,,250,1950-01-01,2017-12-31,,,static,interval,0,"b0cm,b10cm,b30cm,b60cm,b100cm,b200cm",https://s3.openlandmap.org/arco/bulkdens.fineearth_usda.4a1h_m.sld,https://s3.openlandmap.org/arco/bulkdens.fineearth_usda.4a1h_m.qml,https://s3.openlandmap.org/arco/bulkdens.fineearth_usda.4a1h_m_250m_{dp}_{dt}_go_epsg.4326_v0.2.tif,,,,,,,,,,,,,,,,,,,,,,,,
geom_merit.dem,0,openlandmap,MERIT geomorphometry,"Relief parameters were derived derived using SAGA GIS (http://www.saga-gis.org/) and the MERIT DEM (Yamazaki et al. 2017) projected in the Equi7 grid system (Bauer-Marschallinger et al. 2014). Once derived, DEM derivatives were then reprojected to the lon-lat system.",Geology and Soils,"meritdem,geomorphometry",v1,https://doi.org/10.1038/s41597-020-0479-6,meter,Tom Hengl,tom.hengl@opengeohub.org,"yamazaki_lab,opengeohub",CC-BY-4.0,,,,250,2017-01-01,2018-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/slope_merit.dem.sld,https://s3.openlandmap.org/arco/slope_merit.dem.qml,https://s3.openlandmap.org/arco/geom_merit.dem_m_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/dev-magnitude_merit.dem_m_5km_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/cti_merit.dem_m_5km_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/rough-scale_merit.dem_m_5km_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/vbf_merit.dem_m_5km_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/slope_merit.dem_m_250m_s_{dt}_go_epsg.4326_v1.0.tif,,,,,,,,,,,,,,,,,,,
fapar_proba.v,0,openlandmap,PROBA-V long-term fraction of absorbed photosynthetically active radiation (FAPAR),"Fraction of absorbed photosynthetically active radiation monthly images for 2014–2017 were obtained from https://land.copernicus.eu (original values reported in the range 0–235 with scaling factor 1/255, i.e., with a maximum value of 0.94). From a total of 142 images downloaded from https://land.copernicus.eu we derived minimum, median and maximum value of FAPAR per month (12) using the 95% probability interval using the data.table package (http://r-datatable.com).",Orthoimagery,"fapar,land potential,natural vegetation",v1,https://doi.org/10.5281/zenodo.3459830,index,Tom Hengl,tom.hengl@opengeohub.org,"copernicus,opengeohub",CC-BY-SA-4.0,,proba-v,vgt,250,2014-01-01,2017-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/fapar_proba.v.sld,https://s3.openlandmap.org/arco/fapar_proba.v.qml,https://s3.openlandmap.org/arco/fapar_proba.v.annual_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.jan_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.feb_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.mar_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.apr_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.may_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.jun_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.jul_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.aug_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.sep_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.oct_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.nov_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,https://s3.openlandmap.org/arco/fapar_proba.v.dec_d_250m_s_{dt}_go_epsg.4326_v1.0.tif,,,,,,,,,,,,
forest.cover_esacci.ifl,0,openlandmap,Tree-covered and intact forest landscapes,"Based on the UNEP historic forest cover map, ESA land cover time series and intact forest landscape (IFL 2000, 2013 and 2016) data (Potapov et al. 2013).",Land Cover and Land Use,"tree cover,forest",v0,https://doi.org/10.5281/zenodo.1477073,class,Tom Hengl,tom.hengl@opengeohub.org,"esa_cci,opengeohub",CC-BY-SA-4.0,,,,250,1995-01-01,2016-12-31,1,"4,4,4,2,2",years,interval,0,,https://s3.openlandmap.org/arco/forest.cover_esacci.sld,https://s3.openlandmap.org/arco/forest.cover_esacci.qml,https://s3.openlandmap.org/arco/forest.cover_esacci.ifl_c_250m_s_{dt}_go_epsg.4326_v0.1.tif,,,,,,,,,,,,,,,,,,,,,,,,
grtgroup_usda.soiltax,0,openlandmap,USDA long-term soil great groups,"Distribution of the USDA soil great groups based on machine learning predictions from global compilation of soil profiles (>350,000 training points).",Geology and Soils,"soil type,usda soil taxonomy",v0,https://doi.org/10.5281/zenodo.3528062,class,Tom Hengl,tom.hengl@opengeohub.org,opengeohub,CC-BY-SA-4.0,,,,250,1950-01-01,2017-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/grtgroup_usda.soiltax_c.sld,https://s3.openlandmap.org/arco/grtgroup_usda.solitax_c.qml,https://s3.openlandmap.org/arco/grtgroup_usda.soiltax_c_250m_s_{dt}_go_espg.4326_v0.2.tif,,,,,,,,,,,,,,,,,,,,,,,,
land.cover_copernicus,0,openlandmap,Copernicus PROBA-V annual land cover,"Annual, global 100m land cover maps in 2015, 2016, 2017, 2018, 2019, produced by the global component of the Copernicus Land Service, derived from PROBA-V satellite observations and ancillary datasets",Land Cover and Land Use,"land cover,land use,globe,earth,remote sensing,satellite,copernicus,proba-v",v3,https://doi.org/10.5281/zenodo.4723924,class,Marcel Buchhorn,marcel.buchhorn@vito.be,"copernicus,opengeohub",CC-BY-4.0,,,,100,2015-01-01,2019-12-31,1,,years,interval,0,,https://s3.openlandmap.org/arco/land.cover_copernicus.sld,https://s3.openlandmap.org/arco/land.cover_copernicus.qml,https://s3.openlandmap.org/arco/land.cover_copernicus_c_100m_s_{dt}_go_epsg.4326_v3.0.1.tif,,,,,,,,,,,,,,,,,,,,,,,,
